,Unnamed: 0,n_nodes,loopcount,loopsize,d0,d1,t0,t1,iter,time,accuracy
0,0.0,20.0,2.0,2.0,0.39843509691974,0.60156490308026,0.3765125193537796,0.6234874806462205,55.0,2.784839153289795,1.9255581467167984
1,1.0,20.0,2.0,2.0,0.5520960856511051,0.44790391434889504,0.7846085229423253,0.21539147705767467,55.0,0.002231597900390625,1.7729147736236661
2,2.0,20.0,2.0,2.0,0.7312442160056375,0.26875578399436245,0.381551518060261,0.618448481939739,55.0,0.0013620853424072266,1.5949530467962356
3,3.0,20.0,2.0,2.0,0.4679520522748684,0.5320479477251316,0.4821063285093118,0.5178936714906881,55.0,0.0011339187622070312,1.8565015654714279
4,4.0,20.0,2.0,2.0,0.4679520522748684,0.5320479477251316,0.482106328509312,0.5178936714906881,55.0,0.0010440349578857422,1.8565015654714279
5,5.0,20.0,2.0,2.0,0.5189626057599205,0.4810373942400796,0.5179636628975961,0.4820363371024038,55.0,0.00028324127197265625,1.8058288279627654
6,6.0,20.0,2.0,2.0,0.8796866483411997,0.12031335165880025,0.8981831448798073,0.10181685512019266,55.0,0.0013248920440673828,1.4474936703538384
7,7.0,20.0,2.0,2.0,0.4598654489082511,0.5401345510917488,0.2899797503008084,0.7100202496991916,55.0,0.0016508102416992188,1.8645346155314184
8,8.0,20.0,2.0,2.0,0.4811926597545485,0.5188073402454515,0.4214070669622052,0.5785929330377948,55.0,0.0008716583251953125,1.8433486435477386
9,9.0,20.0,2.0,2.0,0.0687760282362215,0.9312239717637784,0.1822208265850539,0.8177791734149462,55.0,0.0005311965942382811,2.2530340573564493
10,10.0,20.0,2.0,2.0,0.5847805004707981,0.4152194995292018,0.8971266836820608,0.10287331631793918,55.0,0.0012753009796142578,1.7404468104350705
11,11.0,20.0,2.0,2.0,0.534907116269338,0.46509288373066204,0.4175062142319924,0.5824937857680076,55.0,0.0008680820465087892,1.7899899095321983
12,12.0,20.0,2.0,2.0,0.4501672886723201,0.5498327113276801,0.532166864575159,0.467833135424841,55.0,0.0005536079406738281,1.8741685499700307
13,13.0,20.0,2.0,2.0,0.8427571881831579,0.15724281181684197,0.7759229729818234,0.22407702701817656,55.0,0.0011708736419677734,1.484178566185706
14,14.0,20.0,2.0,2.0,0.5001790162637332,0.4998209837362669,0.1447805480813652,0.8552194519186348,55.0,0.0008571147918701173,1.8244880236582148
15,15.0,20.0,2.0,2.0,0.4199414107303848,0.5800585892696153,0.4880715038793567,0.5119284961206433,55.0,0.0008976459503173828,1.9041942578731876
16,16.0,20.0,2.0,2.0,0.6543016147623282,0.3456983852376717,0.42901535388088,0.5709846461191199,55.0,0.0010929107666015623,1.671386097795739
17,17.0,20.0,2.0,2.0,0.09573026175643587,0.9042697382435642,0.2703145117646932,0.7296854882353069,55.0,0.0016553401947021484,2.2262583275005237
18,18.0,20.0,2.0,2.0,0.16471604948623358,0.8352839505137664,0.5273946455917993,0.4726053544082007,55.0,0.0018966197967529297,2.157729396237609
19,19.0,20.0,2.0,2.0,0.7905238300174416,0.2094761699825584,0.5168651158940484,0.4831348841059516,55.0,0.0006253719329833983,1.5360660103849328
20,20.0,27.0,4.0,3.0,0.75173144670957,0.24826855329042996,0.8912312821853381,0.10876871781466177,55.0,4.197399377822877,1.5746014922097127
21,21.0,27.0,4.0,3.0,0.9457524853390756,0.05424751466092445,0.7830982176437248,0.2169017823562752,55.0,0.0005450248718261719,1.381865352530068
22,22.0,27.0,4.0,3.0,0.7321868088164543,0.26781319118354585,0.2337136783541019,0.7662863216458979,55.0,0.0016493797302246096,1.5940166962801792
23,23.0,27.0,4.0,3.0,0.947306908097275,0.05269309190272493,0.8130975130842124,0.18690248691578773,55.0,0.001375436782836914,1.3803212238934943
24,24.0,27.0,4.0,3.0,0.2740847090560527,0.7259152909439472,0.15983795542612764,0.8401620445738723,55.0,0.00054931640625,2.0490850275839794
25,25.0,27.0,4.0,3.0,0.5907283152073467,0.4092716847926533,0.570587846373603,0.42941215362639695,55.0,0.0011119842529296877,1.7345383849367355
26,26.0,27.0,4.0,3.0,0.3615789188431739,0.6384210811568262,0.6926033747264763,0.3073966252735239,55.0,0.0008533000946044923,1.962170245775744
27,27.0,27.0,4.0,3.0,0.08004991605883746,0.9199500839411624,0.3780432808063117,0.6219567191936884,55.0,0.0013203620910644533,2.241834830543415
28,28.0,27.0,4.0,3.0,0.10022142950100313,0.8997785704989968,0.36874989591612195,0.6312501040838779,55.0,0.001346111297607422,2.221796902389845
29,29.0,27.0,4.0,3.0,0.433245958005188,0.566754041994812,0.5103141558228859,0.4896858441771141,55.0,0.0005359649658203125,1.8909778195938962
30,30.0,27.0,4.0,3.0,0.16975680882778174,0.8302431911722182,0.18968925506624196,0.8103107449337581,55.0,0.0016231536865234375,2.152722019185066
31,31.0,27.0,4.0,3.0,0.5000002351952579,0.4999997648047421,0.4168329957880571,0.5831670042119429,55.0,0.0010766983032226562,1.82466562075402
32,32.0,27.0,4.0,3.0,0.947306908097275,0.05269309190272493,0.8130975130842124,0.18690248691578767,55.0,0.0015592575073242188,1.3803212238934943
33,33.0,27.0,4.0,3.0,0.08004991605883746,0.9199500839411624,0.3780432808063117,0.6219567191936883,55.0,0.001315593719482422,2.241834830543415
34,34.0,27.0,4.0,3.0,0.16975680882778174,0.8302431911722182,0.18968925506624196,0.8103107449337581,55.0,0.0013239383697509766,2.152722019185066
35,35.0,27.0,4.0,3.0,0.6049056919614837,0.39509430803851625,0.3498840448514205,0.6501159551485793,55.0,0.0011098384857177734,1.720454897467141
