,Unnamed: 0,looplength,d0,d1,t0,t1,iter,time,accuracy
288,288.0,35.0,0.535034972451259,0.464965027548741,0.5995402630082437,0.4004597369917563,45.0,3.6552922725677486,0.7175814222282385
289,289.0,35.0,0.3525404676091922,0.6474595323908078,0.35663324251049083,0.6433667574895091,45.0,4.050963163375855,0.7512086646022585
290,290.0,35.0,0.6734612619979897,0.3265387380020102,0.6418401783569214,0.3581598216430786,45.0,3.80925178527832,0.6920743835721836
291,291.0,35.0,0.5486162351356143,0.4513837648643858,0.6385556537705123,0.3614443462294878,51.0,5.027037858963013,0.7150788788643863
292,292.0,35.0,0.20234963665161704,0.7976503633483829,0.3918655244838226,0.6081344755161775,51.0,3.9115939140319824,0.7788834895474623
293,293.0,35.0,0.620904179624162,0.3790958203758381,0.8536663575304957,0.1463336424695042,51.0,4.288662672042847,0.7017587833791014
294,294.0,35.0,0.2672332118003834,0.7327667881996166,0.24820951571354455,0.7517904842864555,65.0,5.752407789230348,0.7669277558145003
295,295.0,35.0,0.20179476969169813,0.7982052303083018,0.2974510062333392,0.7025489937666608,65.0,5.11800217628479,0.778985731780798
296,296.0,35.0,0.8594508232163869,0.14054917678361314,0.8886384176852641,0.111361582314736,65.0,4.997658014297485,0.6578031266949356
297,297.0,36.0,0.3247360492194655,0.6752639507805345,0.4056132274627719,0.5943867725372282,99.0,7.912912130355835,0.7563320293691546
298,298.0,36.0,0.3862406990523949,0.613759300947605,0.41721016048654297,0.5827898395134571,99.0,7.857392072677612,0.7449989113180054
299,299.0,36.0,0.646494680459604,0.35350531954039593,0.7715049133116971,0.2284950866883029,99.0,7.654097318649293,0.6970433648254812
300,300.0,36.0,0.2603839407248885,0.7396160592751115,0.3358780607854153,0.6641219392145847,65.0,4.7808499336242685,0.7681898327123245
301,301.0,36.0,0.5955494404880808,0.4044505595119193,0.835631515171652,0.1643684848283479,65.0,4.803913831710815,0.7064307594421446
302,302.0,36.0,0.627134526162217,0.3728654738377831,0.7648050159790313,0.2351949840209687,65.0,4.878743886947632,0.7006107522463798
303,303.0,36.0,0.6984763457809264,0.3015236542190735,0.8383927396016401,0.16160726039835993,65.0,5.027754306793213,0.6874649939025976
304,304.0,36.0,0.3828671272501615,0.6171328727498384,0.12271701813401915,0.8772829818659807,65.0,4.990472793579102,0.7456205405377896
305,305.0,36.0,0.5205788874313744,0.4794211125686256,0.7645415800274133,0.2354584199725867,65.0,4.937788486480713,0.7202451642141344
306,306.0,37.0,0.5060318369505604,0.4939681630494396,0.2644897353917089,0.7355102646082909,41.0,3.2416305541992188,0.7229256678970744
307,307.0,37.0,0.2704246567433773,0.7295753432566228,0.260253658118172,0.7397463418818281,41.0,3.134089231491089,0.76633968609309
308,308.0,37.0,0.647776586315291,0.352223413684709,0.5642543503229647,0.43574564967703533,41.0,3.1193828582763667,0.6968071551985275
309,309.0,37.0,0.4224386841881367,0.5775613158118634,0.2842777510540153,0.7157222489459847,49.0,3.7936277389526367,0.7383289109217517
310,310.0,37.0,0.26152078096348164,0.7384792190365185,0.5412067434494,0.4587932565506,49.0,3.8500826358795166,0.7679803535158041
311,311.0,37.0,0.3647000967031995,0.6352999032968004,0.3018444321635117,0.6981555678364882,49.0,4.1417410373687735,0.7489680777140328
312,312.0,37.0,0.36103253558306864,0.6389674644169315,0.16372233477262255,0.8362776652273775,59.0,4.755709409713745,0.7496438787022048
313,313.0,37.0,0.8955594867276327,0.10444051327236736,0.8783758817461221,0.12162411825387782,59.0,4.5733726024627686,0.6511495850951741
314,314.0,37.0,0.06172934456417128,0.9382706554358288,0.09058970881784056,0.9094102911821594,59.0,5.078874588012695,0.8047948047885558
315,315.0,38.0,0.8768782278878721,0.12312177211212805,0.7868427119552722,0.21315728804472767,85.0,7.6659255027771,0.6545918762447079
316,316.0,38.0,0.04404937292211445,0.9559506270778856,0.14348386776893673,0.8565161322310633,85.0,6.464787721633911,0.808052594342755
317,317.0,38.0,0.4527387710603607,0.5472612289396392,0.8787630695107039,0.12123693048929605,85.0,7.964878797531128,0.7327456832728537
318,318.0,38.0,0.25370184457694883,0.7462981554230511,0.2925291326986313,0.7074708673013688,67.0,5.8590335845947275,0.7694211052206541
319,319.0,38.0,0.5180750601062886,0.4819249398937114,0.5182908697972157,0.4817091302027843,67.0,5.692500591278076,0.720706530480457
320,320.0,38.0,0.10711604671765716,0.8928839532823428,0.08627511092307627,0.9137248890769236,67.0,5.544174671173097,0.7964316508667785
321,321.0,38.0,0.3615001863941429,0.6384998136058571,0.3429295388689264,0.6570704611310736,59.0,4.8405418395996085,0.7495577073011314
322,322.0,38.0,0.09720650322913836,0.9027934967708616,0.124456172507172,0.8755438274928281,59.0,5.222579479217528,0.79825762705709
323,323.0,38.0,0.4802240165548679,0.5197759834451321,0.6905138070819936,0.3094861929180064,59.0,4.878660678863525,0.7276811307113775
324,324.0,39.0,0.2349208505025678,0.7650791494974322,0.14285473508454422,0.8571452649154557,57.0,5.76581072807312,0.7728817740244123
325,325.0,39.0,0.4024612239914303,0.5975387760085697,0.660876378355728,0.3391236216442722,57.0,5.31000828742981,0.7420100458503531
326,326.0,39.0,0.3106229202820428,0.6893770797179573,0.4662859037682236,0.5337140962317765,57.0,4.9493277072906485,0.7589325767546511
327,327.0,39.0,0.31892348639151097,0.6810765136084891,0.3982069323349923,0.6017930676650076,59.0,5.325273513793945,0.7574030778327728
328,328.0,39.0,0.3259542565430369,0.6740457434569631,0.3994282801000884,0.6005717198999115,59.0,4.9802987575531015,0.7561075571146778
